study ID,first author,publication_date,earliest_date,obs
179,Chemaitelly,02/06/2022,13/03/2022,[Published version of March 13 2022 preprint]
180,Cerqueira-Silva,09/02/2022,,
181,Butt,09/02/2022,,
183,Hayek,27/01/2022,,
184,Goldin,08/02/2022,,
185,Ferdinands,11/02/2022,,
186,Jara,20/04/2023,15/02/2022,[Update to February 15 2022 preprint]
187,Halasa,22/06/2022,15/02/2022,[Update to February 15 2022 preprint]
188,Gazit,15/02/2022,,
189,Filon,15/02/2022,,
190,Wu,10/01/2022,,
191,Mallow,09/02/2022,,
192,Shen,23/02/2022,,
193,Cura-Bilbao,02/02/2022,,
194,Smid,15/10/2022,25/02/2022,[Published version of Feb 25 2022 preprint]
195,Klein,01/03/2022,,
196,Wright,25/02/2022,,
197,Perry,03/03/2022,,
198,Oliver,09/03/2022,,
199,Oliveira,03/03/2022,,
200,Ashmawy,24/04/2023,11/03/2022,[Update to March 11 2022 preprint)
201,Fowlkes,11/03/2022,,
202,Shrotri,12/03/2022,,
203,Baum,05/11/2022,06/07/2022,[Update to July 6 2022 preprint
204,Jara,23/05/2022,15/03/2022,[Published version of March 15 2022 preprint]
205,Rearte,15/03/2022,,
206,Can,19/03/2022,,
207,Altarawneh,15/06/2022,31/03/2022,[Update to March 31 2022 study]
208,Kaura,12/03/2022,,
209,Horne,20/07/2022,23/03/2022,[Published version of March 23 2022 preprint]
210,Stowe,30/09/2022,01/04/2022,[Update to April 1 2022 preprint]
211,Tenforde,25/03/2022,,
212,Veneti,07/03/2023,25/03/2022,[Update to March 25 2022 preprint]
213,Wang,23/11/2022,25/03/2022,[Published version of March 25 2022 preprint]
214,Natarajan,29/03/2022,,
215,Hansen,30/03/2022,,
216,Price,30/03/2022,,
217,Marra,30/03/2022,,
218,Starrfelt,30/03/2022,30/03/2022,[Published version of March 30 2022 preprint]
219,Pardo-Seco,29/03/2022,,
220,Nordstrom,31/03/2022,,
221,Ranzani,16/08/2022,16/08/2022,Published version of August 16 2022 preprint
222,Florentino,08/08/2022,05/04/2022,[Update to April 5 2022 preprint]
223,Yoon,06/04/2022,,
224,Kwon,06/04/2022,,
225,Paraguay Ministry of Health and Social Welfare,22/03/2022,,
226,Buchan,07/04/2022,,
227,Kim,29/07/2022,10/04/2022,[Update to April 10 2022 preprint
228,Kildegard,11/04/2022,,
229,Institute of Public Health,12/04/2022,,
230,Plumb,12/04/2022,,
231,Dale,12/04/2022,,
232,Cerqueira-Silva,01/07/2022,13/04/2022,[Update to April 13 2022 preprint]
233,Nasreen,17/08/2022,13/04/2022,[Published version of April 13 2022 preprint]
234,Richardson,19/06/2022,17/04/2022,[Update to April 17 2022 preprint]
235,Voko,22/07/2022,18/04/2022,[Published version of April 18 2022 preprint]
236,Gram,01/09/2022,20/04/2022,[Published verson of April 20 2022 preprint]
237,Lind,25/04/2022,25/04/2022,[Update to April 25 2022 preprint]
238,Sanchez Ruiz,01/04/2022,,
239,Widdifield,14/04/2022,,
240,Cerqueira-Silva,11/01/2023,14/04/2022,[Update to April 14 2022 preprint]
241,Gonzalez,19/04/2022,19/04/2022,[Published version of April 19 preprint]
242,Eick-Cost,20/04/2022,,
243,Castillo,21/04/2022,,
244,Sharma,27/04/2022,,
246,Florentino,13/08/2022,29/04/2022,[Update to April 29 2022 preprint]
247,Kirsebom,12/12/2022,01/05/2022,[Update to May 1 2022 preprint]
248,Carazo,14/10/2022,03/05/2022,[Update from May 3 2022 preprint]
249,Ma,03/05/2022,,
250,Rennert,10/01/2023,07/05/2022,[Published version of May 7 2022 preprint]
251,Simwanza,12/09/2022,08/06/2022,[Update to June 8 2022 preprint]
252,Zahradka,03/05/2022,,
253,Martellucci,22/04/2022,,
254,Braeye,11/05/2022,,
255,Lan,12/05/2022,,
256,Tenforde,17/05/2022,,
257,Fano,18/05/2022,,
258,Paranthaman,20/05/2022,,
259,Tsundue,24/05/2022,,
260,Amir,09/09/2022,25/05/2022,[Update to May 25  2022 preprint]
261,Chin,26/10/2022,27/05/2022,[Previous preprint version Chin et al (May 27 2022)
262,Carlsen,01/06/2022,,
263,Grewal,06/07/2022,,
264,Spicer,26/05/2022,,
265,Richterman,06/06/2022,,
266,Lin,08/06/2022,,
267,Lewis,08/06/2022,,
270,Al Kaabi,09/06/2022,,
271,Gray,09/06/2022,29/12/2021,[Published version of December 29 2021 preprint; see reference #17 in Table 2]
272,Adams,11/10/2022,14/06/2022,Published updated analysis of June 14 2022 preprint
273,Magro,22/06/2022,,
274,Moline,27/06/2022,,
275,Carazo,21/09/2022,27/06/2022,[Published version of June 27 preprint]
276,Cohen-Stavi,29/06/2022,,
277,Ionescu,16/01/2023,28/06/2022,[Published version of June 28 2022 preprint]
278,Tartof,07/10/2022,30/06/2022,Published version of June 30 2022 preprint
279,Paternina-Caicedo,01/07/2022,,
280,Tonnara,04/07/2022,,
281,Kerr,09/07/2022,,
282,Stephenson,11/07/2022,,
283,Guedalia,15/11/2022,11/07/2022,[Published version of July 11 2022 prperint]
284,Link-Gelles,15/07/2022,,
285,Cerqueira-Silva,18/07/2022,,
286,Hatfield,20/07/2022,,
287,Tan,20/07/2022,,
288,Mazagatos,26/07/2022,,
289,Chemaitelly,02/11/2022,26/07/2022,Published version of July 26 2022 preprint
290,Mayr,22/06/2022,,
291,Piche-Renaud,03/03/2023,01/08/2022,[Update to August 1 2022 preprint]
292,Arashiro,03/08/2022,,
